Step,Masked Accuracy
2000,0.18392825126648
4000,0.342984169721603
6000,0.347597151994705
8000,0.347175776958466
10000,0.350371420383453
12000,0.353305876255035
14000,0.354105353355408
16000,0.354897946119308
18000,0.358108371496201
20000,0.358709096908569
22000,0.360396295785904
24000,0.360146969556808
26000,0.360329747200012
28000,0.361846387386322
30000,0.362486720085144
32000,0.363067060709
34000,0.363709300756454
36000,0.364070504903793
38000,0.364013642072678
40000,0.365441709756851
42000,0.366113662719727
44000,0.366676449775696
46000,0.367018461227417
48000,0.367013096809387
50000,0.36785763502121
52000,0.368411213159561
54000,0.368753790855408
56000,0.369308114051819
58000,0.369546234607697
60000,0.369737893342972
62000,0.370074689388275
64000,0.370863616466522
66000,0.371147722005844
68000,0.371291875839233
70000,0.371517419815064
72000,0.371896475553513
74000,0.37200653553009
76000,0.372494429349899
78000,0.372988075017929
80000,0.373283863067627
82000,0.373868465423584
84000,0.373739928007126
86000,0.374257326126099
88000,0.372325301170349
90000,0.374178558588028
92000,0.374896138906479
94000,0.375443041324616
96000,0.375644594430923
98000,0.375853091478348
100000,0.376045554876328
102000,0.366358369588852
104000,0.366628229618073
106000,0.367029160261154
108000,0.367433488368988
110000,0.367972403764725
112000,0.367558896541595
114000,0.367909759283066
116000,0.368513971567154
118000,0.368362069129944
120000,0.36914724111557
122000,0.369306355714798
124000,0.369608134031296
126000,0.369906067848206
128000,0.370299756526947
130000,0.370410740375519
132000,0.370976239442825
134000,0.371003419160843
136000,0.371552079916
138000,0.371475517749786
140000,0.371833950281143
142000,0.372074127197266
144000,0.37202051281929
146000,0.372667998075485
148000,0.372924447059631
150000,0.373301804065704
152000,0.373539477586746
154000,0.373834669589996
156000,0.373673170804977
158000,0.374202162027359
160000,0.374483644962311
162000,0.374528408050537
164000,0.374949991703033
166000,0.375140935182571
168000,0.375378400087357
170000,0.375549465417862
172000,0.376114249229431
174000,0.375810891389847
176000,0.37618812918663
178000,0.376382440328598
180000,0.376570135354996
182000,0.376957178115845
184000,0.376740783452988
186000,0.376969873905182
188000,0.377182692289352
190000,0.377380728721619
192000,0.377491384744644
194000,0.377906084060669
196000,0.377580583095551
198000,0.377746939659119
200000,0.377987861633301
